,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5514326,3737737,HK835981,12/30/2004 02:00:00 PM,001XX N KOSTNER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1113,11.0,28.0,26.0,08B,1147040.0,1900296.0,2004,04/15/2016 08:55:02 AM,41.88237942,-87.735529202,"(41.88237942, -87.735529202)"
5514328,3737739,HK833348,12/29/2004 02:50:00 AM,033XX S LITUANICA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,False,924,9.0,11.0,60.0,08B,1170854.0,1882667.0,2004,04/15/2016 08:55:02 AM,41.83351554,-87.648600347,"(41.83351554, -87.648600347)"
5514331,3737743,HK682015,10/12/2004 12:30:00 PM,010XX N MONTICELLO AVE,2027,NARCOTICS,POSS: CRACK,STREET,True,False,1112,11.0,27.0,23.0,18,1151852.0,1906771.0,2004,04/15/2016 08:55:02 AM,41.900054139,-87.717688754,"(41.900054139, -87.717688754)"
5514332,3737744,HK838247,12/31/2004 04:00:00 PM,010XX N SPRINGFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1112,11.0,27.0,23.0,08B,1150197.0,1906625.0,2004,04/15/2016 08:55:02 AM,41.89968593,-87.723771464,"(41.89968593, -87.723771464)"
5514333,3737745,HK824973,12/23/2004 04:27:51 PM,056XX W BERTEAU AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,1624,16.0,38.0,15.0,18,1137837.0,1927358.0,2004,04/15/2016 08:55:02 AM,41.956811561,-87.768668893,"(41.956811561, -87.768668893)"
5514335,3737747,HK837031,12/30/2004 11:15:00 PM,013XX W 50TH ST,0560,ASSAULT,SIMPLE,STREET,False,True,933,9.0,16.0,61.0,08A,1168281.0,1871609.0,2004,04/15/2016 08:55:02 AM,41.803227125,-87.658359911,"(41.803227125, -87.658359911)"
5514336,3737748,HL105941,12/31/2004 10:00:00 PM,077XX S ESSEX AVE,0890,THEFT,FROM BUILDING,APARTMENT,False,False,421,4.0,7.0,43.0,06,1194203.0,1854182.0,2004,04/15/2016 08:55:02 AM,41.754808347,-87.563865036,"(41.754808347, -87.563865036)"
5514337,3737749,HK769972,11/23/2004 11:20:00 PM,035XX W ARMITAGE AVE,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,True,False,1413,14.0,26.0,22.0,16,1152306.0,1913056.0,2004,04/15/2016 08:55:02 AM,41.917291808,-87.715855006,"(41.917291808, -87.715855006)"
5514338,3737750,HK820907,12/21/2004 04:40:00 AM,002XX W HILL ST,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,1823,18.0,27.0,8.0,08A,1174400.0,1907689.0,2004,04/15/2016 08:55:02 AM,41.902099299,-87.634842377,"(41.902099299, -87.634842377)"
5514340,3737753,HL107807,07/01/2002 12:00:00 PM,004XX W 70TH ST,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,732,7.0,6.0,68.0,06,1174373.0,1858507.0,2002,04/15/2016 08:55:02 AM,41.767140373,-87.636407233,"(41.767140373, -87.636407233)"
5514341,3737756,HK838441,12/31/2004 06:20:00 PM,027XX W MONROE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,1125,11.0,2.0,27.0,08B,1158111.0,1899573.0,2004,04/15/2016 08:55:02 AM,41.880176623,-87.694895929,"(41.880176623, -87.694895929)"
5514342,3737757,HK831680,12/27/2004 06:00:00 PM,027XX W 50TH ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,COMMERCIAL / BUSINESS OFFICE,False,False,911,9.0,14.0,63.0,14,1159136.0,1871401.0,2004,04/15/2016 08:55:02 AM,41.80284852,-87.691904785,"(41.80284852, -87.691904785)"
5514344,3737759,HK825229,12/23/2004 06:44:44 PM,013XX S LAWNDALE AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,1011,10.0,24.0,29.0,18,1151918.0,1893645.0,2004,04/15/2016 08:55:02 AM,41.864033702,-87.717792133,"(41.864033702, -87.717792133)"
5514345,3737760,HK682138,10/12/2004 02:05:00 PM,106XX S CHAMPLAIN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,512,5.0,9.0,50.0,18,1182494.0,1834426.0,2004,04/15/2016 08:55:02 AM,41.700874918,-87.607385165,"(41.700874918, -87.607385165)"
5514346,3737762,HK821965,12/21/2004 10:36:11 PM,016XX W GARFIELD BLVD,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,True,False,932,9.0,16.0,61.0,26,1166159.0,1868232.0,2004,04/15/2016 08:55:02 AM,41.794005701,-87.666238407,"(41.794005701, -87.666238407)"
5514347,3737763,HK668407,10/05/2004 07:40:00 PM,050XX S ELIZABETH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,933,9.0,16.0,61.0,18,1168843.0,1871403.0,2004,04/15/2016 08:55:02 AM,41.802649709,-87.656304744,"(41.802649709, -87.656304744)"
5514350,3737766,HK830374,12/27/2004 01:30:00 PM,032XX S SHIELDS AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,False,False,924,9.0,11.0,34.0,26,1174483.0,1883515.0,2004,04/15/2016 08:55:02 AM,41.835762371,-87.635259592,"(41.835762371, -87.635259592)"
5514353,3737770,HK838530,12/31/2004 07:50:00 PM,009XX N PULASKI RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,True,True,1111,11.0,37.0,23.0,08B,1149550.0,1906002.0,2004,04/15/2016 08:55:02 AM,41.897988944,-87.726164111,"(41.897988944, -87.726164111)"
5514354,3737772,HK682797,10/12/2004 06:45:00 PM,060XX S ASHLAND AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,714,7.0,15.0,67.0,18,1166703.0,1864763.0,2004,04/15/2016 08:55:02 AM,41.784474741,-87.664342569,"(41.784474741, -87.664342569)"
5514357,3737775,HL104687,12/30/2004 07:22:00 PM,001XX E MARQUETTE RD,2830,OTHER OFFENSE,OBSCENE TELEPHONE CALLS,RESIDENCE,False,False,322,3.0,20.0,69.0,17,1178343.0,1860621.0,2004,04/15/2016 08:55:02 AM,41.772852222,-87.621791532,"(41.772852222, -87.621791532)"
5514359,3737777,HL107873,12/28/2004 08:00:00 AM,079XX S KINGSTON AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,422,4.0,7.0,46.0,11,1194567.0,1852750.0,2004,04/15/2016 08:55:02 AM,41.750869885,-87.562578122,"(41.750869885, -87.562578122)"
5514360,3737778,HL106424,12/31/2004 01:00:00 PM,119XX S HALSTED ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,False,False,524,5.0,34.0,53.0,03,1173139.0,1825780.0,2004,04/15/2016 08:55:02 AM,41.67736022,-87.641893815,"(41.67736022, -87.641893815)"
